Assessment_ID,Intake_Proficiency_Score,Intake_Applications_Score,Outcome_Proficiency_Score,Outcome_Applications_Score
A58111,0.653,0.528,0.808,0.75
A82038,0.148,0.238,0.377,0.64
S15788,0.564,0.495,0.667,0.766
P46813,0.48,0.337,0.707,0.673
S64917,0.353,0.303,0.703,0.842
X97677,0.649,0.525,0.817,0.711
D65595,0.204,0.285,0.628,0.567
X32002,0.278,0.24,0.759,0.653
X66826,0.247,0.249,0.498,0.421
P80215,0.187,0.087,0.343,0.16
S71556,0.789,0.567,0.908,0.811
S43325,0.208,0.174,0.85,0.689
X63879,0.571,0.391,0.761,0.688
P36318,0.535,0.423,0.847,0.757
S82675,0.638,0.531,0.808,0.725
A52435,0.182,0.238,0.648,0.564
D87466,0.627,0.594,0.743,0.77
X35360,0.513,0.396,0.807,0.638
P66682,0.398,0.384,0.865,0.762
S77359,0.52,0.405,0.696,0.743
P94069,0.475,0.402,0.784,0.632
P62756,0.536,0.313,0.786,0.8
S98526,0.209,0.167,0.73,0.731
X63973,0.196,0.145,0.42,0.382
D36618,0.187,0.131,0.385,0.485
S29680,0.522,0.397,0.736,0.746
A38313,0.311,0.184,0.757,0.709
X77885,0.704,0.488,0.85,0.751
S38356,0.442,0.356,0.795,0.663
P99261,0.283,0.261,0.465,0.387
D79831,0.591,0.526,0.785,0.724
S47526,0.134,0.27,0.691,0.814
S45919,0.205,0.164,1.0,1.0
P21610,0.272,0.265,0.708,0.606
P50747,0.217,0.17,0.273,0.294
P42186,0.329,0.236,0.781,0.894
D99565,0.15,0.232,0.328,0.454
A52383,0.492,0.402,0.771,0.698
A68828,0.554,0.552,0.784,0.731
D63048,0.571,0.506,0.734,0.626
X80527,0.18,0.18,0.463,0.264
A47481,0.185,0.252,0.262,0.46
P48736,0.627,0.464,0.744,0.722
P22842,0.124,0.217,0.361,0.641
S59119,0.417,0.388,0.697,0.689
D92240,0.8,0.715,0.907,0.848
A52088,0.324,0.339,0.605,0.554
A60190,0.531,0.385,0.785,0.673
D44479,0.396,0.417,0.705,0.799
D45520,0.62,0.536,0.821,0.821
D96151,0.542,0.518,0.756,0.677
P56675,0.159,0.217,0.251,0.336
D32023,0.654,0.511,0.759,0.703
P37657,0.248,0.239,0.482,0.532
X35731,0.45,0.324,0.74,0.66
S84018,0.318,0.195,0.723,0.829
A74177,0.376,0.469,0.665,0.67
D54023,0.608,0.465,0.816,0.713
P44120,0.553,0.503,0.804,0.77
X89400,0.188,0.195,0.225,0.335
S64376,0.762,0.664,0.906,0.808
A59831,0.566,0.564,0.723,0.754
D74842,0.204,0.134,0.41,0.462
S53414,0.486,0.433,0.776,0.722
A98938,0.424,0.502,0.745,0.708
A98726,0.589,0.449,0.793,0.776
X29858,0.22,0.188,0.789,0.88
S46667,0.501,0.449,0.892,0.693
D40072,0.327,0.437,0.836,0.924
A42315,0.565,0.468,0.781,0.794
S89341,0.647,0.443,0.767,0.663
D36946,0.188,0.192,0.428,0.444
P11469,0.256,0.258,0.694,0.916
D25229,0.256,0.232,1.0,0.972
S27662,0.445,0.356,0.709,0.606
S78607,0.679,0.491,0.782,0.625
P96706,0.732,0.579,0.893,0.807
S20165,0.568,0.482,0.747,0.681
A19986,0.272,0.189,0.808,0.698
S98792,0.69,0.536,0.779,0.708
S52443,0.406,0.388,0.687,0.694
D41881,0.656,0.556,0.798,0.653
S14685,0.436,0.485,0.693,0.733
X35231,0.65,0.464,0.811,0.687
X12826,0.237,0.181,0.593,0.452
A66450,0.467,0.385,0.782,0.697
P70648,0.285,0.225,0.779,0.703
A54607,0.616,0.548,0.841,0.771
D25708,0.235,0.197,0.379,0.359
P14959,0.619,0.48,0.69,0.711
P74594,0.136,0.151,0.344,0.245
A20201,0.705,0.663,0.895,0.853
X52782,0.511,0.546,0.709,0.705
X45662,0.274,0.196,0.483,0.43
A14974,0.282,0.159,0.747,0.778
A82487,0.476,0.337,0.884,0.655
A44419,0.306,0.12,0.674,0.884
P33505,0.795,0.643,0.906,0.892
S30676,0.661,0.453,0.774,0.637
P98588,0.281,0.217,0.626,0.483
X84631,0.283,0.217,0.909,0.681
X56184,0.313,0.275,0.674,0.678
D19064,0.664,0.407,0.79,0.624
S43768,0.467,0.357,0.844,0.832
A47998,0.282,0.25,0.733,0.734
X18858,0.409,0.463,0.707,0.731
D35886,0.443,0.389,0.657,0.512
S10495,0.242,0.144,0.384,0.325
X18866,0.262,0.183,0.748,0.878
D91749,0.529,0.345,0.777,0.781
D19403,0.171,0.241,0.986,0.953
D91416,0.382,0.454,0.813,0.811
X43796,0.144,0.099,0.52,0.411
D12576,0.526,0.423,0.791,0.757
D75455,0.302,0.185,0.826,0.774
S70300,0.41,0.381,0.697,0.837
S38484,0.59,0.587,0.755,0.694
X78871,0.644,0.528,0.729,0.68
D66529,0.124,0.28,0.484,0.636
A51227,0.798,0.529,0.882,0.734
D68622,0.274,0.241,0.433,0.375
S81971,0.549,0.343,0.758,0.669
P11968,0.561,0.484,0.852,0.79
D18894,0.686,0.552,0.851,0.704
S65625,0.77,0.709,0.924,0.865
X24285,0.442,0.372,0.789,0.769
D92835,0.247,0.212,0.406,0.282
A78586,0.67,0.492,0.831,0.754
D37305,0.252,0.139,0.359,0.217
A53258,0.521,0.476,0.736,0.792
A93427,0.422,0.359,0.614,0.671
X91252,0.31,0.172,0.95,0.834
D50175,0.212,0.221,0.408,0.363
A14834,0.361,0.153,0.808,0.761
A87727,0.568,0.469,0.757,0.843
S25493,0.533,0.577,0.818,0.733
D36670,0.533,0.296,0.912,0.803
X61243,0.423,0.388,0.64,0.514
D92870,0.585,0.434,0.817,0.867
S65437,0.299,0.277,0.829,0.751
D35085,0.449,0.426,0.702,0.773
P18595,0.579,0.517,0.687,0.784
P33606,0.602,0.516,0.766,0.632
A96281,0.333,0.26,0.828,0.739
X56430,0.813,0.672,0.948,0.859
D51756,0.426,0.388,0.85,0.69
A86998,0.491,0.577,0.587,0.649
S37697,0.49,0.5,0.809,0.731
P39434,0.382,0.394,0.852,0.704
A95844,0.421,0.501,0.667,0.619
P61273,0.307,0.247,0.845,0.796
A85502,0.417,0.335,0.82,0.738
D30299,0.423,0.399,0.778,0.731
P63784,0.637,0.559,0.815,0.76
X91403,0.513,0.511,0.743,0.711
S78491,0.153,0.216,0.386,0.316
X19763,0.786,0.645,0.888,0.833
X35573,0.626,0.508,0.773,0.71
P57315,0.611,0.482,0.782,0.698
A47269,0.576,0.552,0.858,0.799
S27904,0.459,0.475,0.67,0.653
A11088,0.506,0.408,0.772,0.669
X48626,0.117,0.252,0.488,0.705
A35794,0.291,0.161,0.877,0.664
A58170,0.749,0.528,0.8,0.682
D81164,0.285,0.159,0.8,0.82
D33996,0.778,0.565,0.852,0.66
S70044,0.931,0.766,0.965,0.828
D69055,0.198,0.237,0.513,0.516
D85820,0.238,0.196,0.627,0.487
A25541,0.494,0.315,0.904,0.739
P55092,0.186,0.259,0.531,0.595
A78840,0.486,0.331,0.756,0.711
X60398,0.576,0.566,0.684,0.743
A54582,0.788,0.702,0.942,0.838
X28583,0.645,0.48,0.763,0.728
A18886,0.514,0.511,0.695,0.62
D90665,0.619,0.412,0.742,0.542
P40834,0.161,0.162,0.953,0.781
S82709,0.675,0.551,0.799,0.798
D80177,0.494,0.44,0.76,0.757
D42310,0.423,0.414,0.736,0.74
S50457,0.195,0.254,0.728,0.708
X81653,0.671,0.584,0.819,0.683
X63209,0.625,0.462,0.719,0.743
P99206,0.463,0.406,0.713,0.671
P19444,0.422,0.307,0.653,0.604
S36379,0.319,0.256,0.713,0.617
A37001,0.271,0.182,0.489,0.486
D21552,0.262,0.195,0.927,0.981
P99572,0.248,0.206,0.285,0.207
X49375,0.425,0.404,0.732,0.803
P32900,0.287,0.17,0.85,0.703
D99932,0.564,0.545,0.782,0.825
S57953,0.298,0.22,0.478,0.367
D53859,0.762,0.76,0.893,0.886
P11418,0.5,0.458,0.686,0.708
D97096,0.348,0.213,0.699,0.69
X24040,0.597,0.444,0.792,0.729
X23875,0.475,0.592,0.677,0.702
D87282,0.474,0.347,0.698,0.716
X54644,0.386,0.37,0.672,0.571
S98426,0.491,0.363,0.715,0.745
A88214,0.246,0.104,0.758,0.416
P53744,0.518,0.502,0.686,0.723
P34480,0.463,0.414,0.718,0.706
A58973,0.476,0.447,0.823,0.767
D54326,0.185,0.125,0.371,0.487
D93063,0.63,0.514,0.799,0.721
A90811,0.326,0.378,0.699,0.617
D51045,0.326,0.349,0.633,0.69
A17493,0.363,0.315,0.809,0.709
A78400,0.488,0.363,0.808,0.641
X10072,0.137,0.178,0.497,0.445
S46507,0.257,0.157,0.854,0.941
A44341,0.146,0.182,0.471,0.479
X99111,0.53,0.407,0.841,0.785
S34622,0.426,0.431,0.688,0.717
D65639,0.585,0.512,0.858,0.788
P26641,0.493,0.451,0.72,0.755
S56693,0.399,0.35,0.734,0.773
X40070,0.519,0.402,0.842,0.737
X97184,0.351,0.193,0.773,0.853
X87571,0.537,0.469,0.774,0.743
D98556,0.334,0.243,0.618,0.579
S45911,0.499,0.415,0.739,0.745
D69684,0.266,0.24,0.657,0.495
D92153,0.291,0.187,0.837,0.687
X33151,0.229,0.281,0.571,0.481
S54540,0.585,0.59,0.807,0.791
A54336,0.294,0.18,0.422,0.206
S46960,0.533,0.531,0.653,0.79
D95178,0.78,0.65,0.879,0.832
D11308,0.691,0.654,0.847,0.878
P92485,0.589,0.419,0.86,0.64
P53202,0.41,0.432,0.68,0.708
P90162,0.591,0.521,0.855,0.744
X27657,0.308,0.218,0.959,0.802
D90175,0.627,0.381,0.771,0.767
A67705,0.321,0.245,0.766,0.789
D13542,0.133,0.168,0.336,0.293
X46591,0.761,0.404,0.899,0.626
X11703,0.474,0.427,0.79,0.72
D75004,0.421,0.359,0.804,0.762
D56263,0.559,0.441,0.78,0.558
A68856,0.814,0.676,0.935,0.824
A20653,0.436,0.308,0.775,0.745
P69882,0.192,0.227,0.747,1.0
D92431,0.356,0.073,0.865,0.798
P44974,0.436,0.381,0.815,0.67
X58539,0.278,0.201,0.867,0.834
S21338,0.319,0.234,0.809,0.837
D32681,0.582,0.485,0.743,0.686
A20865,0.223,0.308,0.631,0.537
A75501,0.304,0.221,0.772,0.689
S21967,0.198,0.209,0.443,0.376
D42711,0.137,0.191,0.318,0.245
X12025,0.294,0.264,0.881,0.742
X22413,0.628,0.5,0.855,0.76
A20664,0.18,0.265,0.558,0.634
S26644,0.543,0.389,0.725,0.655
P34428,0.652,0.579,0.755,0.808
D90331,0.156,0.241,0.162,0.483
D61762,0.186,0.23,0.822,0.702
S61291,0.302,0.234,0.635,0.423
S45955,0.504,0.454,0.798,0.646
D48830,0.258,0.181,0.707,0.784
S60769,0.634,0.626,0.813,0.77
P90327,0.285,0.204,0.863,0.517
S54276,0.501,0.402,0.816,0.736
A30995,0.28,0.238,0.743,0.764
P68069,0.461,0.365,0.755,0.726
D59900,0.578,0.386,0.722,0.785
P26708,0.278,0.151,0.653,0.671
P58333,0.237,0.182,0.807,0.788
A46494,0.381,0.376,0.641,0.58
D92176,0.559,0.459,0.892,0.785
A78230,0.518,0.405,0.836,0.752
X40015,0.295,0.254,0.779,0.761
A38487,0.236,0.264,0.91,0.987
X16099,0.315,0.192,0.75,0.746
D50068,0.627,0.425,0.795,0.787
S71788,0.636,0.504,0.72,0.729
A32646,0.258,0.162,0.742,0.963
X88522,0.729,0.571,0.802,0.745
S35944,0.66,0.56,0.892,0.723
D35343,0.106,0.264,0.296,0.5
A33152,0.516,0.438,0.78,0.7
A27987,0.262,0.227,0.873,0.794
A46473,0.464,0.395,0.713,0.718
A75060,0.807,0.643,0.895,0.888
X42775,0.178,0.113,0.818,0.71
S23448,0.451,0.302,0.629,0.565
S51955,0.193,0.224,0.55,0.482
X46961,0.189,0.227,0.876,0.781
X70722,0.746,0.593,0.831,0.807
D54630,0.62,0.554,0.768,0.749
S17794,0.43,0.341,0.817,0.748
A57325,0.383,0.491,0.723,0.742
X75979,0.427,0.253,0.675,0.683
D41724,0.161,0.17,0.913,0.918
A57080,0.379,0.339,0.671,0.62
A62028,0.61,0.495,0.761,0.69
X26099,0.141,0.179,0.346,0.338
A79538,0.443,0.38,0.811,0.736
S77662,0.264,0.185,0.553,0.563
A14109,0.35,0.224,0.819,0.874
X67907,0.372,0.058,0.84,0.908
S33806,0.192,0.243,0.846,0.989
P49456,0.158,0.245,0.321,0.383
A12204,0.259,0.179,0.817,0.905
P29906,0.619,0.468,0.796,0.671
D57122,0.784,0.783,0.898,0.91
S44749,0.274,0.215,0.74,0.745
X87898,0.375,0.42,0.711,0.732
S73930,0.517,0.585,0.678,0.786
A18675,0.371,0.133,0.9,0.874
X18224,0.618,0.464,0.714,0.608
P67051,0.209,0.253,0.447,0.493
A66987,0.584,0.517,0.675,0.627
P90055,0.292,0.202,0.871,0.89
P20432,0.535,0.532,0.805,0.681
D45103,0.217,0.212,0.468,0.374
A21504,0.579,0.389,0.798,0.757
X57648,0.407,0.442,0.718,0.64
P27402,0.527,0.518,0.685,0.713
A58835,0.493,0.461,0.78,0.828
X88504,0.643,0.532,0.85,0.73
S99509,0.483,0.339,0.672,0.677
S91621,0.492,0.384,0.783,0.707
A10896,0.606,0.454,0.734,0.639
P47213,0.196,0.128,0.926,0.981
P57360,0.322,0.219,0.836,0.867
D65390,0.163,0.151,0.47,0.408
X33991,0.207,0.275,0.329,0.326
A64682,0.248,0.107,0.916,0.937
P65533,0.546,0.629,0.712,0.753
D87886,0.234,0.38,0.817,0.808
X49194,0.246,0.139,0.569,0.531
D38368,0.757,0.618,0.888,0.823
A88518,0.29,0.185,0.574,0.447
P78415,0.312,0.2,0.872,0.805
A77783,0.603,0.458,0.793,0.729
X30795,0.131,0.238,0.493,0.431
S91998,0.542,0.581,0.696,0.725
X98449,0.583,0.539,0.772,0.667
P51114,0.453,0.285,0.753,0.572
P43262,0.656,0.505,0.789,0.708
P49503,0.616,0.544,0.793,0.734
D95947,0.691,0.488,0.826,0.748
P68230,0.252,0.194,0.609,0.243
S74405,0.629,0.574,0.828,0.723
A68076,0.303,0.188,0.98,0.594
A59989,0.665,0.477,0.823,0.675
X36213,0.716,0.631,0.897,0.869
X18267,0.455,0.372,0.753,0.761
A16878,0.285,0.24,1.0,0.995
P26956,0.213,0.202,0.506,0.495
X29186,0.353,0.336,0.834,0.806
D94185,0.459,0.394,0.735,0.734
X31944,0.361,0.408,0.87,0.878
X86055,0.344,0.315,0.461,0.424
P96747,0.737,0.619,0.862,0.7
D79438,0.727,0.565,0.782,0.744
P34981,0.562,0.534,0.8,0.82
D15394,0.493,0.42,0.77,0.887
X64391,0.657,0.462,0.784,0.639
P86961,0.263,0.299,0.694,0.699
A50652,0.464,0.424,0.779,0.741
P52871,0.6,0.584,0.765,0.754
S81475,0.806,0.682,0.902,0.869
S88645,0.4,0.431,0.793,0.786
S23400,0.419,0.341,0.792,0.703
D96414,0.192,0.256,0.256,0.337
S74651,0.188,0.248,0.182,0.378
D14397,0.387,0.11,0.748,0.771
P58095,0.565,0.456,0.863,0.822
X18735,0.266,0.219,0.852,0.632
P24740,0.301,0.106,0.591,0.495
A94646,0.201,0.206,1.0,0.981
A30327,0.274,0.185,0.69,0.345
P40131,0.281,0.153,0.591,0.43
S85537,0.548,0.415,0.724,0.741
P19798,0.324,0.206,0.677,0.693
P94990,0.642,0.561,0.847,0.76
A15784,0.115,0.123,0.364,0.297
S43554,0.776,0.646,0.894,0.873
P41020,0.651,0.568,0.795,0.759
X18812,0.349,0.234,0.745,0.804
A53343,0.606,0.461,0.816,0.745
A30824,0.773,0.483,0.887,0.663
P61951,0.527,0.305,0.796,0.657
D39218,0.544,0.456,0.749,0.656
D48632,0.525,0.314,0.764,0.559
D80967,0.403,0.38,0.629,0.53
D84496,0.534,0.428,0.702,0.566
P40420,0.182,0.108,0.793,1.0
S60991,0.524,0.478,0.825,0.825
P90165,0.601,0.411,0.856,0.783
P61570,0.246,0.215,1.0,0.914
S49185,0.214,0.271,0.7,0.803
S22122,0.212,0.149,0.424,0.468
S61300,0.599,0.526,0.785,0.651
X10508,0.246,0.153,0.655,0.694
S11310,0.184,0.239,0.377,0.466
P48105,0.357,0.215,0.826,0.853
X32460,0.574,0.448,0.815,0.68
S38174,0.769,0.4,0.845,0.626
D90282,0.458,0.42,0.662,0.715
A90599,0.598,0.569,0.818,0.744
D23492,0.164,0.101,0.389,0.431
S81615,0.655,0.346,0.919,0.765
D91239,0.503,0.257,0.819,0.763
P76522,0.664,0.57,0.818,0.788
A46804,0.522,0.4,0.767,0.784
A83619,0.626,0.477,0.746,0.695
X48463,0.647,0.429,0.853,0.746
S36455,0.645,0.535,0.757,0.673
A11242,0.232,0.162,0.875,0.897
D24019,0.282,0.172,0.678,0.728
X26880,0.486,0.392,0.662,0.774
A90669,0.653,0.482,0.845,0.657
A34611,0.629,0.478,0.798,0.64
D93492,0.532,0.422,0.78,0.73
P90683,0.741,0.563,0.843,0.748
X89969,0.483,0.315,0.83,0.689
S81900,0.303,0.265,0.818,0.818
A84931,0.38,0.433,0.66,0.777
S56845,0.391,0.353,0.762,0.827
S61508,0.357,0.218,0.79,0.745
S69809,0.446,0.41,0.671,0.743
P36013,0.539,0.357,0.85,0.629
S24529,0.244,0.205,0.769,0.918
A93631,0.214,0.268,0.472,0.494
X49514,0.217,0.191,1.0,0.929
D83332,0.662,0.599,0.73,0.746
P25152,0.139,0.242,0.391,0.372
P63397,0.341,0.38,0.675,0.631
A17222,0.521,0.431,0.795,0.714
S62060,0.479,0.317,0.82,0.717
X99848,0.494,0.541,0.741,0.746
D28363,0.511,0.461,0.827,0.706
X33225,0.641,0.643,0.789,0.825
D34716,0.81,0.708,0.924,0.861
A63182,0.672,0.495,0.783,0.728
P66578,0.118,0.24,0.442,0.707
X25699,0.647,0.522,0.792,0.695
P67543,0.166,0.187,0.746,0.799
S85258,0.873,0.673,0.906,0.861
X80320,0.237,0.148,0.565,0.496
S50136,0.132,0.237,0.556,0.542
X67214,0.294,0.232,0.755,0.718
X45779,0.209,0.142,0.409,0.407
D41533,0.239,0.201,0.439,0.351
D42522,0.58,0.524,0.795,0.638
P14105,0.134,0.209,0.388,0.518
P91026,0.175,0.194,0.567,0.575
S74830,0.328,0.221,0.853,0.698
P87468,0.216,0.24,0.468,0.415
X56971,0.858,0.661,0.967,0.922
D40987,0.227,0.182,0.256,0.303
D94844,0.647,0.499,0.792,0.685
X22871,0.279,0.283,0.503,0.529
X67123,0.157,0.194,0.963,0.83
P11503,0.512,0.348,0.801,0.706
S27377,0.464,0.416,0.756,0.763
D35885,0.217,0.192,0.743,0.863
A69964,0.199,0.16,0.486,0.467
A12931,0.732,0.528,0.853,0.666
S49629,0.242,0.166,0.411,0.306
P43159,0.32,0.175,0.734,0.874
A54323,0.587,0.451,0.826,0.699
D99056,0.272,0.249,0.834,0.901
A62469,0.427,0.447,0.762,0.675
D12237,0.378,0.199,0.806,0.772
A14909,0.175,0.233,0.505,0.385
S63364,0.547,0.531,0.808,0.739
S80856,0.378,0.297,0.769,0.748
D89901,0.254,0.309,0.925,0.752
P75067,0.632,0.523,0.738,0.672
D62181,0.235,0.151,0.554,0.555
D65451,0.245,0.23,0.483,0.361
P27894,0.216,0.297,0.969,0.79
P55229,0.543,0.445,0.757,0.789
P32049,0.367,0.358,0.677,0.638
S58755,0.485,0.294,0.743,0.781
P35768,0.22,0.203,0.381,0.263
P72291,0.305,0.146,0.821,0.759
X21269,0.267,0.213,0.54,0.472
X88708,0.482,0.368,0.765,0.697
S44670,0.602,0.505,0.773,0.737
D19508,0.184,0.139,0.446,0.381
P14827,0.141,0.182,0.628,0.537
X28024,0.48,0.38,0.781,0.68
A36371,0.41,0.343,0.624,0.66
S35613,0.595,0.434,0.821,0.758
S18396,0.437,0.34,0.929,0.673
D80549,0.496,0.457,0.703,0.664
X88847,0.596,0.519,0.718,0.638
X54596,0.508,0.364,0.739,0.775
S31047,0.663,0.521,0.842,0.744
S22537,0.786,0.756,0.878,0.857
X90176,0.538,0.499,0.765,0.715
A41383,0.688,0.496,0.802,0.561
D16437,0.329,0.208,0.816,0.736
D51195,0.484,0.32,0.781,0.565
P81069,0.238,0.196,0.832,0.868
S79763,0.227,0.191,0.354,0.452
X33201,0.725,0.558,0.777,0.734
S22817,0.611,0.493,0.823,0.873
X41042,0.44,0.381,0.636,0.532
D53841,0.206,0.193,0.568,0.431
A25741,0.746,0.565,0.85,0.782
D75533,0.265,0.337,0.76,0.814
P48487,0.178,0.126,0.478,0.368
D82390,0.297,0.213,0.834,0.785
P18668,0.613,0.406,0.796,0.749
P21415,0.258,0.098,0.631,0.288
X87148,0.136,0.255,0.57,0.57
P43543,0.13,0.204,0.348,0.409
S13964,0.314,0.168,0.794,0.795
X77225,0.402,0.442,0.716,0.866
X90253,0.395,0.209,0.675,0.692
P71792,0.255,0.189,0.71,0.653
P34270,0.566,0.321,0.77,0.666
A45629,0.458,0.447,0.68,0.619
X93202,0.446,0.395,0.785,0.752
X25318,0.657,0.473,0.763,0.707
A20146,0.15,0.199,0.888,0.95
P87031,0.271,0.216,0.794,0.802
S29779,0.459,0.531,0.732,0.798
D73947,0.819,0.659,0.916,0.874
D67672,0.598,0.413,0.882,0.723
X78152,0.482,0.618,0.683,0.765
S78483,0.604,0.422,0.82,0.72
S87700,0.778,0.626,0.936,0.832
X39202,0.272,0.151,1.0,0.843
A29783,0.688,0.466,0.847,0.708
A85528,0.207,0.274,0.374,0.355
S69061,0.342,0.223,0.875,0.717
D24542,0.185,0.206,0.607,0.313
D74599,0.183,0.273,0.897,0.931
A76208,0.52,0.33,0.836,0.791
A45000,0.412,0.382,0.658,0.529
D31594,0.355,0.172,0.884,0.661
S36141,0.218,0.263,0.507,0.46
P99325,0.637,0.464,0.84,0.633
P51029,0.197,0.17,0.43,0.367
S33331,0.548,0.382,0.699,0.587
X77253,0.122,0.136,0.314,0.587
X28653,0.532,0.441,0.852,0.686
D54569,0.493,0.488,0.903,0.781
P77148,0.508,0.391,0.696,0.619
P76484,0.595,0.487,0.743,0.668
D22917,0.265,0.295,0.326,0.37
S29344,0.633,0.404,0.854,0.759
A36055,0.244,0.172,0.426,0.425
S71499,0.213,0.155,0.539,0.554
P74563,0.58,0.359,0.731,0.686
X85108,0.634,0.562,0.768,0.745
S11675,0.302,0.182,0.547,0.379
P67787,0.334,0.276,0.912,0.856
D40806,0.425,0.434,0.714,0.759
X93286,0.497,0.456,0.74,0.683
D29090,0.189,0.257,0.574,0.477
X51987,0.124,0.181,0.542,0.506
A74699,0.188,0.262,0.545,0.625
S36698,0.196,0.186,0.431,0.472
X24427,0.508,0.349,0.722,0.691
A39486,0.872,0.718,0.909,0.822
A85504,0.563,0.328,0.84,0.66
X80062,0.33,0.399,0.611,0.699
S31239,0.402,0.417,0.665,0.809
X59677,0.516,0.469,0.759,0.609
X71084,0.23,0.145,0.682,0.835
X81946,0.251,0.18,0.72,0.656
X14428,0.515,0.318,0.768,0.619
D69259,0.321,0.247,0.799,0.82
S31397,0.503,0.389,0.802,0.736
D75492,0.639,0.461,0.786,0.749
A39783,0.651,0.497,0.811,0.657
X64717,0.827,0.809,0.904,0.936
P70237,0.348,0.341,0.774,0.623
X98970,0.599,0.449,0.792,0.723
P86917,0.281,0.158,0.797,0.723
X90157,0.216,0.209,0.398,0.29
X86446,0.532,0.407,0.75,0.757
D42914,0.375,0.502,0.841,0.712
A28862,0.505,0.416,0.67,0.627
D23767,0.218,0.219,0.441,0.604
P12898,0.232,0.211,0.577,0.397
X26451,0.096,0.166,0.403,0.608
S76646,0.301,0.15,0.829,0.701
P17399,0.651,0.495,0.813,0.695
S64312,0.223,0.232,0.428,0.331
P49790,0.652,0.564,0.773,0.754
D37825,0.751,0.694,0.887,0.87
A12699,0.356,0.232,0.814,0.796
P69103,0.454,0.432,0.773,0.71
X80938,0.472,0.375,0.747,0.716
S85457,0.478,0.408,0.841,0.763
A38827,0.593,0.598,0.774,0.743
A82830,0.276,0.209,0.871,0.691
A64136,0.461,0.462,0.751,0.74
D87565,0.604,0.577,0.715,0.76
A55013,0.252,0.141,0.353,0.406
P76442,0.318,0.247,0.716,0.722
P57212,0.25,0.065,0.601,0.461
X76201,0.083,0.164,0.502,0.433
A70677,0.458,0.459,0.726,0.781
X65616,0.132,0.097,0.235,0.202
P15806,0.279,0.181,0.825,0.708
S72420,0.182,0.149,0.46,0.311
X12091,0.169,0.184,0.881,0.945
X38627,0.532,0.451,0.781,0.765
S18194,0.271,0.32,0.872,0.924
P65438,0.65,0.477,0.838,0.702
A56557,0.487,0.438,0.721,0.7
P75115,0.344,0.173,0.758,0.816
A10958,0.513,0.421,0.633,0.668
X43686,0.142,0.122,0.34,0.292
D66293,0.261,0.161,0.741,0.713
D53616,0.618,0.505,0.807,0.712
A83845,0.28,0.24,0.829,1.0
D18615,0.298,0.203,0.76,0.76
D31998,0.163,0.158,0.289,0.238
D57774,0.519,0.383,0.719,0.671
X74421,0.487,0.487,0.757,0.746
S79034,0.379,0.353,0.747,0.677
X62612,0.559,0.54,0.821,0.709
X26860,0.506,0.585,0.793,0.723
P18485,0.548,0.458,0.837,0.745
A15116,0.469,0.465,0.855,0.89
X60744,0.574,0.475,0.758,0.669
X17008,0.325,0.235,0.782,0.871
X40297,0.242,0.223,0.472,0.615
A83340,0.43,0.333,0.653,0.597
P42668,0.611,0.586,0.783,0.731
D44865,0.505,0.494,0.804,0.7
X23524,0.534,0.515,0.724,0.733
S14914,0.613,0.467,0.762,0.68
A39970,0.573,0.519,0.78,0.761
P16137,0.723,0.509,0.823,0.631
X10701,0.428,0.312,0.658,0.651
X69992,0.379,0.184,0.88,1.0
S86645,0.257,0.187,0.386,0.26
A52031,0.157,0.187,0.399,0.526
X64520,0.187,0.196,0.542,0.582
P30428,0.501,0.353,0.657,0.566
D69609,0.37,0.372,0.673,0.52
P81745,0.149,0.111,0.384,0.422
S77975,0.183,0.173,0.919,0.927
P73344,0.636,0.59,0.77,0.65
P56013,0.539,0.337,0.833,0.562
X80060,0.47,0.412,0.681,0.75
X76284,0.525,0.409,0.849,0.725
A37257,0.182,0.244,0.365,0.459
P98699,0.553,0.43,0.863,0.724
P66406,0.565,0.45,0.656,0.715
X73342,0.695,0.676,0.852,0.874
D89639,0.586,0.534,0.811,0.783
P75859,0.269,0.195,0.638,0.331
X24039,0.482,0.311,0.823,0.819
S98291,0.192,0.183,0.728,0.657
P77982,0.466,0.385,0.734,0.734
P99335,0.415,0.42,0.822,0.717
D33837,0.627,0.507,0.767,0.84
A95537,0.532,0.395,0.801,0.64
D90506,0.399,0.466,0.711,0.617
X56423,0.22,0.154,0.715,0.546
S25408,0.471,0.303,0.764,0.615
A47643,0.234,0.171,0.891,0.711
X22843,0.172,0.172,0.809,0.639
S93014,0.249,0.22,0.878,0.894
S45988,0.403,0.464,0.77,0.704
S23927,0.337,0.398,0.631,0.628
D51715,0.771,0.751,0.864,0.883
P49453,0.231,0.113,0.836,0.735
A19784,0.7,0.436,0.797,0.672
S28493,0.168,0.143,0.401,0.584
A23114,0.232,0.206,0.517,0.515
A13612,0.203,0.201,0.514,0.482
S88862,0.208,0.221,0.518,0.57
P80708,0.568,0.513,0.77,0.786
A41890,0.24,0.205,0.473,0.508
P23368,0.225,0.248,1.0,1.0
S72858,0.448,0.475,0.868,0.744
D84275,0.773,0.639,0.889,0.869
A83477,0.508,0.415,0.767,0.731
S36777,0.531,0.496,0.728,0.787
D65378,0.128,0.159,0.273,0.488
X33128,0.393,0.391,0.771,0.805
A21828,0.428,0.43,0.695,0.723
P98559,0.456,0.365,0.75,0.728
P35953,0.329,0.432,0.644,0.583
X78272,0.217,0.298,0.436,0.459
P57752,0.213,0.269,0.383,0.297
